numGenerations,numNets,numGamesPerNet,netHiddenLayerSize,chMode,treeDepth
1000,100,10,16,h,3

0,1535.38,7576
1,1712.32,7740
2,1828.35,11472
3,2083.58,13740
4,2102.09,14064
5,2303.72,14172
6,2489.83,12364
7,2374.98,12384
8,2503.86,11240
9,2450.35,14848
10,2599.08,15296
11,2743.36,16124
12,2687.76,12796
13,2746.85,12020
14,2892.22,14224
15,2948.77,14408
16,3002.68,14832
17,2999.22,16032
18,3068.32,15180
19,3114.34,16424
20,3321.68,14572
21,3335.25,16452
22,3603.59,16540
23,3448.65,15804
24,3608.1,16564
25,3645.06,16216
26,3817.78,15900
27,4077.42,17556
28,3855.45,16836
29,3985.8,17492
30,4253.37,15516
31,3987.09,16252
32,4448.14,21176
33,4603.6,15864
34,4611.37,15628
35,4497.49,23524
36,4458.42,16128
37,4626.69,18316
38,4710.34,16340
39,4862.01,28536
40,5078.53,17732
41,5254.73,30928
42,5301.73,20144
43,5372.62,16588
44,5441.95,25648
45,5646.13,23236
46,5624.84,23204
47,5610.72,23244
48,5733.62,16828
49,5762.78,26396
50,5816.39,23216
51,6284.51,25180
52,6211.75,27044
53,6300.65,24312
54,6594.77,23228
55,6357,24600
56,6480.43,19044
57,6338.34,18044
58,6459.74,25320
59,6522.41,24632
60,6725.01,31568
61,6547.89,27484
62,7022.01,23148
63,6762.87,26716
64,6739.67,27160
65,6751.46,26192
66,6735.48,31268
67,6597.53,21804
68,6269,23036
69,6608.27,29140
70,6089.51,17908
71,6395.84,27072
72,6536.41,23008
73,6509.48,23300
74,6782.97,26880
75,6699.23,25372
76,6583.11,30472
77,7207.83,30648
78,6948.64,25596
79,6913.48,26516
80,6667.22,27448
81,6968.96,26844
82,6942.5,26592
83,6752.24,24176
84,6989.46,23224
85,7177.05,24392
86,6951.28,31916
87,7076.59,27360
88,6846.31,26444
89,7425.1,28212
90,7491.61,25932
91,7701.13,25452
92,7279.31,24868
93,7216.31,30716
94,7385.84,26624
95,7527.38,29768
96,7315.6,33224
97,7383.86,25916
98,7469.09,31832
99,7348.34,26492
100,7038.47,34844
101,7314.13,27468
102,7202.16,27804
103,7195.05,25192
104,7263.2,25464
105,7246.36,27300
106,7124.36,28408
107,7188.4,27620
108,7216.21,26196
109,7391.44,27640
110,7314.08,27888
111,7224.6,28044
112,7050.98,26828
113,7349.7,32452
114,7245.68,26680
115,7493.01,32152
116,7557.31,26920
117,7786.6,27084
118,7706.84,25504
119,7532.15,26604
120,7670.46,25452
121,7782.4,28288
122,7724.79,27688
123,7654.18,25464
124,7969.84,26736
125,7947.44,31276
126,7880.88,31772
127,7838.81,24276
128,7726.21,25956
129,8061.82,23968
130,7917.98,26076
131,7888.72,28520
132,7701.99,23576
133,7891.82,29724
134,7944.06,32836
135,8175,26948
136,7898.06,27128
137,7769.64,26848
138,8173.43,25624
139,7836.38,27988
140,8069.12,27444
141,7858.8,27424
142,7842.12,28192
143,7940.52,25548
144,7986.78,25388
145,8304.95,29648
146,7905.72,26096
147,7861.39,31384
148,7992.47,27208
149,7705.24,27744
150,7776.73,26792
151,7932.15,26044
152,7780.25,26916
153,7896.3,26788
154,7699.86,27552
155,7864.78,26192
156,7461.12,27520
157,7721.17,23448
158,7703.47,23456
159,7710.39,25084
160,7819.56,25048
161,7899.81,27288
162,7927.85,27024
163,7704.94,26844
164,7790.91,23304
165,7889.38,27612
166,7870.24,27760
167,7836.81,33280
168,7699.43,26280
169,7916.25,27416
170,7812.69,22084
171,7679.14,27404
172,7764.51,25272
173,7679.15,25504
174,7752.51,26228
175,7877.64,25152
176,7793.39,26288
177,7731.62,30952
178,7876.42,28604
179,7756.48,27320
180,8017.92,30496
181,8378.01,27656
182,8059.95,26108
183,8210.47,27864
184,8361.21,28532
185,8378.79,30848
186,8289.59,27920
187,8343.28,29676
188,8089.85,29732
189,8284.85,26808
190,8179.2,27600
191,8319.49,35772
192,8198.05,24908
193,8531.09,29808
194,8502.94,27576
195,8256.43,27132
196,8408.34,28232
197,8454.16,29760
198,8505.52,25680
199,8323.45,25228
200,8530.07,27932
201,8380.93,28056
202,8271.89,27236
203,8520.67,27344
204,8621.45,32224
205,8516.84,32472
206,8652.39,30736
207,8958.22,32004
208,8967.27,30432
209,8783.91,32956
210,8779.34,32260
211,8668.15,34996
212,8587.44,30580
213,8662.7,32808
214,8883.96,27252
215,8610.94,34824
216,8779.27,35044
217,8716.12,30808
218,8997.66,32032
219,8967.02,30380
220,8689.08,27184
221,8510,32516
222,8961.51,27576
223,9023.54,30148
224,8933.94,32248
225,9040.75,30972
226,9022.67,30596
227,8933.74,34204
228,8919.06,31300
229,9049.8,28116
230,8851.46,32368
231,9027.11,31068
232,9313.82,32324
233,8766.22,32584
234,8694.15,29552
235,8912.1,28872
236,8981.28,35096
237,9096.87,31900
238,8987.17,29032
239,8776.08,27036
240,8850.65,27564
241,8999.38,36356
242,9003,28228
243,9066.26,35636
244,9129.79,30604
245,8792.33,28856
246,8929.06,32860
247,8602.92,30580
248,8729.2,31536
249,8710.84,32624
250,8596.16,30632
251,8840.14,31896
252,8736.2,30452
253,8859.21,28628
254,8891.47,34400
255,8803.01,31552
256,9058.82,31416
257,9188.55,27932
258,9031.48,32528
259,8907.51,34704
260,9074.12,30936
261,8792.98,29848
262,8743.54,32872
263,8672.83,32424
264,8868.99,32180
265,8474.08,31228
266,8773.2,32176
267,9007.2,32584
268,8808.23,28580
269,9206.12,32452
270,9136.86,32216
271,8796.83,35612
272,9235.33,35632
273,8930.12,36156
274,8774.83,34724
