numGenerations,numNets,numGamesPerNet,netHiddenLayerSize,chMode,treeDepth,randomMean,randomStdDev
1000,100,10,16,h,2,0,3.5

0,897.072,4456
1,971.812,5460
2,997.632,5448
3,1016.57,6340
4,1043.49,4844
5,1046.49,6164
6,1106,6488
7,1138.96,5600
8,1185.64,4072
9,1179.39,5272
10,1192.06,5636
11,1240.99,5116
12,1224.27,5724
13,1299.35,5456
14,1246.52,5740
15,1329,6132
16,1319.14,6952
17,1331.37,5200
18,1306.66,4980
19,1342.44,6296
20,1390.63,5544
21,1444.8,5884
22,1516.01,6168
23,1575.53,6920
24,1611.65,6196
25,1554.71,6180
26,1665.64,7480
27,1615.3,6300
28,1665.18,6340
29,1655.46,7144
30,1743.12,7240
31,1741.66,6280
32,1759.83,7240
33,1797.27,6384
34,1838.09,6724
35,1906.88,5756
36,1934.96,11108
37,1926.53,7240
38,1945.82,6412
39,1931.98,6448
40,1939.29,7412
41,2103.88,7048
42,1916.14,7044
43,2032.92,6876
44,1965,7912
45,2043.17,10432
46,2008.05,7152
47,2033.14,6672
48,2002.84,7296
49,2035.26,7548
50,2096.89,7476
51,2129.83,6856
52,2050.5,6680
53,2059.03,7968
54,2119.73,7124
55,2114.88,8112
56,2144.36,7196
57,2115.28,8256
58,2199,8224
59,2144.05,12896
60,2067.1,7328
61,2056.28,9892
62,2127.45,7116
63,2120.79,7092
64,2221.49,6780
65,2196.21,6660
66,2098.92,7624
67,2136.64,7188
68,2087.3,7568
69,2216.62,7752
70,2177.55,7344
71,2135.86,10240
72,2193.97,7352
73,2233.1,8120
74,2204.06,7884
75,2218.85,7956
76,2216.85,6776
77,2189.56,9636
78,2216.59,8140
79,2158.02,7400
80,2226.12,7408
81,2191.36,10024
82,2258,12204
83,2207.92,11276
84,2270.57,11620
85,2262.5,8272
86,2115.78,7588
87,2159.78,10364
88,2270.97,7184
89,2279.29,7556
90,2372.07,14572
91,2326.28,10336
92,2213.51,7996
93,2192.7,7884
94,2238.22,10628
95,2264.2,8184
96,2324.3,8800
97,2444.04,12312
98,2384.67,10380
99,2376.73,10892
100,2410.84,10384
101,2382.7,8428
102,2404.17,10344
103,2432.51,7700
104,2443.5,9888
105,2414.72,9572
106,2386.22,10620
107,2399.28,11112
108,2337.04,12488
109,2329.74,7512
110,2364.16,7496
111,2450.02,11764
112,2398.33,8068
113,2456.73,10124
114,2348.34,9628
115,2388.7,10548
116,2346.5,8012
117,2363.96,10056
118,2384.95,10436
119,2324.22,10500
120,2270.46,9908
121,2398.31,7812
122,2474.9,11104
123,2541.37,11272
